source,author,title,group_id,work_id,urn,output
higg.masscw1.dead.ie.xml,Thomas Wentworth Higginson,"Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1",thomas_wentworth_higginson,higg_masscw1_dead,urn:cts:americanLit:thomas_wentworth_higginson.higg_masscw1_dead.perseus-eng1,data/thomas_wentworth_higginson/higg_masscw1_dead/thomas_wentworth_higginson.higg_masscw1_dead.perseus-eng1.xml
higg.masscw1.narr.ie.xml,Thomas Wentworth Higginson,"Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1: prelminary narrative",thomas_wentworth_higginson,higg_masscw1_narr,urn:cts:americanLit:thomas_wentworth_higginson.higg_masscw1_narr.perseus-eng1,data/thomas_wentworth_higginson/higg_masscw1_narr/thomas_wentworth_higginson.higg_masscw1_narr.perseus-eng1.xml
higg.masscw1.reg.ie.xml,Thomas Wentworth Higginson,"Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1",thomas_wentworth_higginson,higg_masscw1_reg,urn:cts:americanLit:thomas_wentworth_higginson.higg_masscw1_reg.perseus-eng1,data/thomas_wentworth_higginson/higg_masscw1_reg/thomas_wentworth_higginson.higg_masscw1_reg.perseus-eng1.xml
higg.masscw2.ie.xml,Thomas Wentworth Higginson,"Massachusetts in the Army and Navy during the war of 1861-1865, vol. 2",thomas_wentworth_higginson,higg_masscw2,urn:cts:americanLit:thomas_wentworth_higginson.higg_masscw2.perseus-eng1,data/thomas_wentworth_higginson/higg_masscw2/thomas_wentworth_higginson.higg_masscw2.perseus-eng1.xml
higg.newworld.ie.xml,Thomas Wentworth Higginson,The new world and the new book,thomas_wentworth_higginson,higg_newworld,urn:cts:americanLit:thomas_wentworth_higginson.higg_newworld.perseus-eng1,data/thomas_wentworth_higginson/higg_newworld/thomas_wentworth_higginson.higg_newworld.perseus-eng1.xml
higg.oldport.ie.xml,Thomas Wentworth Higginson,"Oldport days, with ten heliotype illustrations from views taken in Newport, R. I., expressly for this work.",thomas_wentworth_higginson,higg_oldport,urn:cts:americanLit:thomas_wentworth_higginson.higg_oldport.perseus-eng1,data/thomas_wentworth_higginson/higg_oldport/thomas_wentworth_higginson.higg_oldport.perseus-eng1.xml
higg.whittier.ie.xml,Thomas Wentworth Higginson,John Greenleaf Whittier,thomas_wentworth_higginson,higg_whittier,urn:cts:americanLit:thomas_wentworth_higginson.higg_whittier.perseus-eng1,data/thomas_wentworth_higginson/higg_whittier/thomas_wentworth_higginson.higg_whittier.perseus-eng1.xml
higg.women.ie.xml,Thomas Wentworth Higginson,Women and Men,thomas_wentworth_higginson,higg_women,urn:cts:americanLit:thomas_wentworth_higginson.higg_women.perseus-eng1,data/thomas_wentworth_higginson/higg_women/thomas_wentworth_higginson.higg_women.perseus-eng1.xml
higg.women2.ie.xml,James Parton,Women of the age; being natives of the lives and deeds of the most prominent women of the present gentlemen,james_parton,higg_women2,urn:cts:americanLit:james_parton.higg_women2.perseus-eng1,data/james_parton/higg_women2/james_parton.higg_women2.perseus-eng1.xml
hillard.mcclell.ie.xml,G. S. Hillard,"Life and Campaigns of George B. McClellan, Major-General, U. S. Army",g_s_hillard,hillard_mcclell,urn:cts:americanLit:g_s_hillard.hillard_mcclell.perseus-eng1,data/g_s_hillard/hillard_mcclell/g_s_hillard.hillard_mcclell.perseus-eng1.xml
hood.mem.ie.xml,John Bell Hood.,Advance and Retreat: Personal Experiences in the United States and Confederate Armies,john_bell_hood,hood_mem,urn:cts:americanLit:john_bell_hood.hood_mem.perseus-eng1,data/john_bell_hood/hood_mem/john_bell_hood.hood_mem.perseus-eng1.xml
howard.auto1.ie.xml,Oliver Otis Howard,"Autobiography of Oliver Otis Howard, major general, United States army: volume 1",oliver_otis_howard,howard_auto1,urn:cts:americanLit:oliver_otis_howard.howard_auto1.perseus-eng1,data/oliver_otis_howard/howard_auto1/oliver_otis_howard.howard_auto1.perseus-eng1.xml
howard.auto2.ie.xml,Oliver Otis Howard,"Autobiography of Oliver Otis Howard, major general, United States army: volume 2",oliver_otis_howard,howard_auto2,urn:cts:americanLit:oliver_otis_howard.howard_auto2.perseus-eng1,data/oliver_otis_howard/howard_auto2/oliver_otis_howard.howard_auto2.perseus-eng1.xml
howe.rem.ie.xml,Jula Ward Howe,Reminiscences: 1819-1899,jula_ward_howe,howe_rem,urn:cts:americanLit:jula_ward_howe.howe_rem.perseus-eng1,data/jula_ward_howe/howe_rem/jula_ward_howe.howe_rem.perseus-eng1.xml
hume.abolitionist.ie.xml,John F. Hume,The abolitionists together with personal memories of the struggle for human rights,john_f_hume,hume_abolitionist,urn:cts:americanLit:john_f_hume.hume_abolitionist.perseus-eng1,data/john_f_hume/hume_abolitionist/john_f_hume.hume_abolitionist.perseus-eng1.xml
johns.mem.ie.xml,General Joseph E. Johnston,Narrative of Military Operations During the Civil War,general_joseph_e_johnston,johns_mem,urn:cts:americanLit:general_joseph_e_johnston.johns_mem.perseus-eng1,data/general_joseph_e_johnston/johns_mem/general_joseph_e_johnston.johns_mem.perseus-eng1.xml
jomini.war.ie.xml,Baron de Jomini,"Summary of the Art of War, or a New Analytical Compend of the Principle Combinations of Strategy, of Grand Tactics and of Military Policy.",baron_de_jomini,jomini_war,urn:cts:americanLit:baron_de_jomini.jomini_war.perseus-eng1,data/baron_de_jomini/jomini_war/baron_de_jomini.jomini_war.perseus-eng1.xml
jones.christ.ie.xml,J. William Jones,"Christ in the camp, or religion in Lee's army",j_william_jones,jones_christ,urn:cts:americanLit:j_william_jones.jones_christ.perseus-eng1,data/j_william_jones/jones_christ/j_william_jones.jones_christ.perseus-eng1.xml
jones.diary.ie.xml,J. B. Jones,A Rebel War Clerk's Diary,j_b_jones,jones_diary,urn:cts:americanLit:j_b_jones.jones_diary.perseus-eng1,data/j_b_jones/jones_diary/j_b_jones.jones_diary.perseus-eng1.xml
knight.mech.ie.xml,Plutarch.,Knight's Mechanical Encyclopedia,plutarch,knight_mech,urn:cts:americanLit:plutarch.knight_mech.perseus-eng1,data/plutarch/knight_mech/plutarch.knight_mech.perseus-eng1.xml
lester.sumner.ie.xml,C. Edwards Lester,"Life and public services of Charles Sumner: Born Jan. 6, 1811. Died March 11, 1874.",c_edwards_lester,lester_sumner,urn:cts:americanLit:c_edwards_lester.lester_sumner.perseus-eng1,data/c_edwards_lester/lester_sumner/c_edwards_lester.lester_sumner.perseus-eng1.xml
linc.carp.ie.xml,Francis B. Carpenter,Six Months at the White House,francis_b_carpenter,linc_carp,urn:cts:americanLit:francis_b_carpenter.linc_carp.perseus-eng1,data/francis_b_carpenter/linc_carp/francis_b_carpenter.linc_carp.perseus-eng1.xml
